"","x","y","area"
"1",16467,19883,"domain_1"
"2",18720,7839,"domain_1"
"3",7378,18737,"domain_2"
"4",14679,6394,"domain_1"
"5",15690,6973,"domain_1"
"6",19243,19154,"domain_3"
"7",4606,22078,"domain_2"
"8",15208,21771,"domain_4"
"9",17482,23073,"domain_4"
"10",14431,9151,"domain_4"
"11",16959,11178,"domain_1"
"12",20249,17121,"domain_3"
"13",13167,7847,"domain_4"
"14",5352,14387,"domain_2"
"15",4354,22223,"domain_2"
"16",12675,16552,"domain_4"
"17",4856,20772,"domain_2"
"18",21521,23357,"domain_3"
"19",20251,18282,"domain_3"
"20",20749,13639,"domain_3"
"21",7383,22218,"domain_2"
"22",5867,21060,"domain_2"
"23",20499,15235,"domain_3"
"24",9654,21490,"domain_2"
"25",15197,14808,"domain_4"
"26",19981,6821,"domain_1"
"27",15186,7844,"domain_1"
"28",21769,20310,"domain_3"
"29",3843,18452,"domain_2"
"30",6358,12065,"domain_2"
"31",11147,7270,"domain_4"
"32",10413,22794,"domain_2"
"33",20488,8271,"other"
"34",19485,12915,"domain_1"
"35",17719,13063,"domain_1"
"36",9895,14090,"domain_2"
"37",9887,8868,"domain_4"
"38",6371,20479,"domain_2"
"39",3848,21353,"domain_2"
"40",16703,9002,"domain_1"
"41",6359,12645,"domain_2"
"42",13166,7267,"domain_4"
"43",19754,23215,"domain_3"
"44",14951,18725,"domain_4"
"45",14446,19016,"domain_4"
"46",7376,17866,"domain_2"
"47",11674,21777,"domain_2"
"48",15702,15097,"domain_1"
"49",12934,20469,"domain_4"
"50",3850,22804,"domain_2"
"51",20250,17701,"domain_3"
"52",17224,19737,"domain_1"
"53",21746,5513,"domain_5"
"54",9148,21200,"domain_2"
"55",7867,8581,"domain_2"
"56",7120,15110,"domain_2"
"57",16196,7552,"domain_1"
"58",12164,12491,"domain_6"
"59",10386,5095,"other"
"60",12418,13506,"domain_6"
"61",11901,5673,"domain_4"
"62",7376,17576,"domain_2"
"63",10407,18732,"domain_2"
"64",12683,21775,"domain_4"
"65",17713,9581,"domain_1"
"66",7636,22363,"domain_2"
"67",5357,18159,"domain_2"
"68",15694,9874,"domain_1"
"69",10900,11187,"domain_4"
"70",19229,10449,"other"
"71",11149,8721,"domain_4"
"72",16717,18577,"domain_1"
"73",6109,14531,"domain_2"
"74",15187,8134,"domain_1"
"75",18723,9580,"domain_1"
